model,data_path,custom_params,mse,mae,acc,smape,f_score,crps,mre,naps,setting,seed,task_name,is_training,model_id,data,features,target,freq,lag,scaler,reindex,reindex_tolerance,pin_memory,seq_len,label_len,pred_len,seasonal_patterns,inverse,mask_rate,anomaly_ratio,expand,d_conv,top_k,num_kernels,enc_in,dec_in,c_out,d_model,n_heads,e_layers,d_layers,d_ff,moving_avg,series_decomp_mode,factor,distil,dropout,embed,activation,output_attention,channel_independence,decomp_method,use_norm,down_sampling_layers,down_sampling_window,down_sampling_method,seg_len,num_workers,train_epochs,stop_epochs,batch_size,patience,learning_rate,des,loss,lradj,use_amp,use_gpu,gpu,use_multi_gpu,devices,p_hidden_dims,p_hidden_layers,use_dtw,augmentation_ratio,jitter,scaling,permutation,randompermutation,magwarp,timewarp,windowslice,windowwarp,rotation,spawner,dtwwarp,shapedtwwarp,wdba,discdtw,discsdtw,extra_tag,lstm_hidden_size,lstm_layers,num_spline,sample_times,run_time
Autoformer,station00.csv,,0.71968144,0.5813047,,,,,,,long_term_forecast_power_96_96_Autoformer_custom_ftM_sl96_ll96_pl96_dm512_nh8_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc2_ebtimeF_dtTrue_deExp_2023-10-29 16-04-28,2021,long_term_forecast,1,"power_96_96(large_lr, same_head)",custom,M,power,t,,,,,,96,96,96,Monthly,False,0.25,0.25,2,4,5,6,14,14,14,512,8,1,1,2048,25,avg,2,True,0.1,timeF,gelu,False,0,moving_avg,1,0,1,,48,10,3,,32,3,0.0001,Exp,MSE,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,2023-10-29 16-04-28
Autoformer,station00.csv,,0.7076977,0.5817069,,,,,,,long_term_forecast_power_96_96_Autoformer_custom_ftM_sl96_ll96_pl96_dm512_nh8_el1_dl1_dmavg_df2048_expand2_dc4_fc2_ebtimeF_dtTrue_Exp_0,2021,long_term_forecast,1,"power_96_96(large_lr, same_head)",custom,M,power,t,,,,,,96,96,96,Monthly,False,0.25,0.25,2,4,5,6,14,14,14,512,8,1,1,2048,25,avg,2,True,0.1,timeF,gelu,False,0,moving_avg,1,0,1,,48,10,3,,32,3,0.0001,Exp,MSE,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,2023-10-28 23-03-35
FEDformer,station00.csv,,0.67454034,0.5612035,,,,,,,long_term_forecast_power_96_96_FEDformer_custom_ftM_sl96_ll96_pl96_dm512_nh8_el1_dl1_dmavg_df2048_expand2_dc4_fc2_ebtimeF_dtTrue_Exp_0,2021,long_term_forecast,1,power_96_96(large_lr),custom,M,power,t,,,,,,96,96,96,Monthly,False,0.25,0.25,2,4,5,6,14,14,14,512,8,1,1,2048,25,avg,2,True,0.1,timeF,gelu,False,0,moving_avg,1,0,1,,48,10,3,,32,3,0.0001,Exp,MSE,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
FEDformer,station00.csv,,0.6709266,0.56216896,,,,,,,long_term_forecast_power_96_96_FEDformer_custom_ftM_sl96_ll96_pl96_dm512_nh8_el1_dl1_dmavg_df2048_expand2_dc4_fc2_ebtimeF_dtTrue_Exp_0,2021,long_term_forecast,1,"power_96_96(large_lr, complex_operation)",custom,M,power,t,,,,,,96,96,96,Monthly,False,0.25,0.25,2,4,5,6,14,14,14,512,8,1,1,2048,25,avg,2,True,0.1,timeF,gelu,False,0,moving_avg,1,0,1,,48,10,3,,32,3,0.0001,Exp,MSE,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
FEDformer,station00.csv,,0.67454034,0.5612035,,,,,,,long_term_forecast_power_96_96_FEDformer_custom_ftM_sl96_ll96_pl96_dm512_nh8_el1_dl1_dmavg_df2048_expand2_dc4_fc2_ebtimeF_dtTrue_Exp_0,2021,long_term_forecast,1,power_96_96(large_lr),custom,M,power,t,,,,,,96,96,96,Monthly,False,0.25,0.25,2,4,5,6,14,14,14,512,8,1,1,2048,25,avg,2,True,0.1,timeF,gelu,False,0,moving_avg,1,0,1,,48,10,10,,32,3,0.0001,Exp,MSE,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
FEDformer,station00.csv,,0.66957104,0.5586085,,,,,,,long_term_forecast_power_96_96_FEDformer_custom_ftM_sl96_ll96_pl96_dm512_nh8_el1_dl1_dmadp_avg_df2048_expand2_dc4_fc2_ebtimeF_dtTrue_Exp_0,2021,long_term_forecast,1,power_96_96(large_lr),custom,M,power,t,,,,,,96,96,96,Monthly,False,0.25,0.25,2,4,5,6,14,14,14,512,8,1,1,2048,25,adp_avg,2,True,0.1,timeF,gelu,False,0,moving_avg,1,0,1,,48,10,3,,32,3,0.0001,Exp,MSE,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
