model,data_path,custom_params,mse,mae,acc,smape,f_score,crps,mre,naps,picp,pinaw,cwc,setting,seed,task_name,is_training,model_id,data,features,target,freq,lag,scaler,reindex,reindex_tolerance,pin_memory,seq_len,label_len,pred_len,seasonal_patterns,inverse,mask_rate,anomaly_ratio,expand,d_conv,top_k,num_kernels,enc_in,dec_in,c_out,d_model,n_heads,e_layers,d_layers,d_ff,moving_avg,series_decomp_mode,factor,distil,dropout,embed,activation,output_attention,channel_independence,decomp_method,use_norm,down_sampling_layers,down_sampling_window,down_sampling_method,seg_len,num_workers,train_epochs,stop_epochs,batch_size,patience,learning_rate,des,loss,lradj,use_amp,use_gpu,gpu,use_multi_gpu,devices,p_hidden_dims,p_hidden_layers,use_dtw,augmentation_ratio,jitter,scaling,permutation,randompermutation,magwarp,timewarp,windowslice,windowwarp,rotation,spawner,dtwwarp,shapedtwwarp,wdba,discdtw,discsdtw,extra_tag,lstm_hidden_size,lstm_layers,num_spline,sample_times,run_time
LSTM-AQ,electricity/electricity.csv,AA_attn_dhz_ap1_norm,0.001702203,0.031487253,,,,0.024193059653043747,0.11691935360431671,0.08769352734088898,,,,probability_forecast_OT_96_192_LSTM-AQ_custom_ftMS_sl96_ll0_pl192_dm24_nh2_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-04-27 00-44-02,2021,probability_forecast,1,OT_96_192,custom,MS,OT,t,3,MinMaxScaler,0,0.8,False,96,0,192,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,24,2,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,26,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,24,1,20,99,2024-04-27 00-44-02
LSTM-AQ,electricity/electricity.csv,AA_attn_dhz_ap1_norm,0.0032882353,0.045285404,,,,0.03068292886018753,0.09616878628730774,0.21206288039684296,,,,probability_forecast_OT_96_192_LSTM-AQ_custom_ftMS_sl96_ll0_pl192_dm24_nh2_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-04-27 02-00-29,2021,probability_forecast,1,OT_96_192,custom,MS,OT,t,3,MinMaxScaler,0,0.8,False,96,0,192,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,24,2,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,4,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,24,2,20,99,2024-04-27 02-00-29
LSTM-AQ,electricity/electricity.csv,AA_attn_dhz_ap1_norm,0.0038117184,0.04867181,,,,0.03119140863418579,0.08076060563325882,0.19045142829418182,,,,probability_forecast_OT_96_192_LSTM-AQ_custom_ftMS_sl96_ll0_pl192_dm24_nh2_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-04-27 02-22-45,2021,probability_forecast,1,OT_96_192,custom,MS,OT,t,3,MinMaxScaler,0,0.8,False,96,0,192,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,24,2,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,4,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,24,3,20,99,2024-04-27 02-22-45
LSTM-AQ,electricity/electricity.csv,AA_attn_dhz_ap1_norm,0.001981767,0.034211196,,,,0.025751717388629913,0.12395580857992172,0.11347536742687225,,,,probability_forecast_OT_96_192_LSTM-AQ_custom_ftMS_sl96_ll0_pl192_dm24_nh2_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-04-27 02-45-46,2021,probability_forecast,1,OT_96_192,custom,MS,OT,t,3,MinMaxScaler,0,0.8,False,96,0,192,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,24,2,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,12,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,1,20,99,2024-04-27 02-45-46
LSTM-AQ,electricity/electricity.csv,AA_attn_dhz_ap1_norm,0.0019952396,0.035242748,,,,0.024613093584775925,0.07805213332176208,0.0989600121974945,,,,probability_forecast_OT_96_192_LSTM-AQ_custom_ftMS_sl96_ll0_pl192_dm24_nh2_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-04-27 03-28-12,2021,probability_forecast,1,OT_96_192,custom,MS,OT,t,3,MinMaxScaler,0,0.8,False,96,0,192,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,24,2,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,17,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,2,20,99,2024-04-27 03-28-12
LSTM-AQ,electricity/electricity.csv,AA_attn_dhz_ap1_norm,0.0020325342,0.0358174,,,,0.023739144206047058,0.055449821054935455,0.11221705377101898,,,,probability_forecast_OT_96_192_LSTM-AQ_custom_ftMS_sl96_ll0_pl192_dm24_nh2_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-04-27 04-24-28,2021,probability_forecast,1,OT_96_192,custom,MS,OT,t,3,MinMaxScaler,0,0.8,False,96,0,192,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,24,2,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,10,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,3,20,99,2024-04-27 04-24-28
LSTM-AQ,electricity/electricity.csv,AA_attn_dhz_ap1_norm,nan,nan,,,,nan,0.5,nan,,,,probability_forecast_OT_96_192_LSTM-AQ_custom_ftMS_sl96_ll0_pl192_dm24_nh2_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-04-27 05-04-11,2021,probability_forecast,1,OT_96_192,custom,MS,OT,t,3,MinMaxScaler,0,0.8,False,96,0,192,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,24,2,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,1,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,64,1,20,99,2024-04-27 05-04-11
LSTM-AQ,electricity/electricity.csv,AA_attn_dhz_ap1_norm,0.0020674402,0.0357812,,,,0.02168331667780876,0.0691508874297142,0.0862610787153244,,,,probability_forecast_OT_96_192_LSTM-AQ_custom_ftMS_sl96_ll0_pl192_dm24_nh2_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-04-27 05-19-59,2021,probability_forecast,1,OT_96_192,custom,MS,OT,t,3,MinMaxScaler,0,0.8,False,96,0,192,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,24,2,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,17,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,64,2,20,99,2024-04-27 05-19-59
LSTM-AQ,electricity/electricity.csv,AA_attn_dhz_ap1_norm,0.0016639072,0.031602886,,,,0.021547425538301468,0.0722346231341362,0.08859947323799133,,,,probability_forecast_OT_96_192_LSTM-AQ_custom_ftMS_sl96_ll0_pl192_dm24_nh2_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-04-27 06-16-00,2021,probability_forecast,1,OT_96_192,custom,MS,OT,t,3,MinMaxScaler,0,0.8,False,96,0,192,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,24,2,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,16,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,64,3,20,99,2024-04-27 06-16-00
LSTM-AQ,exchange_rate/exchange_rate.csv,AA_attn_dhz_ap1_norm,0.02267878,0.12781265,,,,0.05768583342432976,0.15141388773918152,0.34131503105163574,,,,probability_forecast_OT_96_192_LSTM-AQ_custom_ftMS_sl96_ll0_pl192_dm24_nh2_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-04-27 07-09-44,2021,probability_forecast,1,OT_96_192,custom,MS,OT,t,3,MinMaxScaler,0,0.9,False,96,0,192,Monthly,False,0.25,0.25,2,4,5,6,8,8,8,24,2,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,16,50,19,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,24,1,20,99,2024-04-27 07-09-44
