model,data_path,custom_params,mse,mae,acc,smape,f_score,crps,mre,pinaw,setting,seed,task_name,is_training,model_id,data,features,target,freq,lag,checkpoints,scaler,reindex,reindex_tolerance,pin_memory,seq_len,label_len,pred_len,seasonal_patterns,inverse,mask_rate,anomaly_ratio,top_k,num_kernels,enc_in,dec_in,c_out,d_model,n_heads,e_layers,d_layers,d_ff,moving_avg,series_decomp_mode,factor,distil,dropout,embed,activation,output_attention,channel_independence,num_workers,train_epochs,stop_epochs,batch_size,patience,learning_rate,des,loss,lradj,use_amp,use_gpu,gpu,use_multi_gpu,devices,p_hidden_dims,p_hidden_layers,lstm_hidden_size,lstm_layers,num_spline,sample_times,run_time
LSTM-AQ,electricity/electricity.csv,AA_attn_dhz_ap1_norm,0.001714095,0.032971118,,,,0.020423760637640953,0.06648273020982742,0.08121534436941147,probability_forecast_OT_96_192_LSTM-AQ_custom_ftMS_sl96_ll0_pl192_dm24_nh1_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-05-01 14-40-34,2021,probability_forecast,1,OT_96_192,custom,MS,OT,t,3,./checkpoints/,MinMaxScaler,0,0.8,True,96,0,192,Monthly,False,0.25,0.25,5,6,321,321,321,24,1,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,16,50,22,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,40,1,20,99,2024-05-01 14-40-34
LSTM-AQ,electricity/electricity.csv,AA_attn_dhz_ap1_norm,0.0021574078,0.036669757,,,,0.022652914747595787,0.060549505054950714,0.09811913967132568,probability_forecast_OT_96_192_LSTM-AQ_custom_ftMS_sl96_ll0_pl192_dm40_nh1_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-05-01 15-48-52,2021,probability_forecast,1,OT_96_192,custom,MS,OT,t,3,./checkpoints/,MinMaxScaler,0,0.8,True,96,0,192,Monthly,False,0.25,0.25,5,6,321,321,321,40,1,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,16,50,15,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,40,1,20,99,2024-05-01 15-48-52
LSTM-AQ,electricity/electricity.csv,AA_attn_dhz_ap1_norm,0.0024979596,0.041022524,,,,0.023049836978316307,0.06687978655099869,0.10536342859268188,probability_forecast_OT_96_192_LSTM-AQ_custom_ftMS_sl96_ll0_pl192_dm64_nh1_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-05-01 16-38-34,2021,probability_forecast,1,OT_96_192,custom,MS,OT,t,3,./checkpoints/,MinMaxScaler,0,0.8,True,96,0,192,Monthly,False,0.25,0.25,5,6,321,321,321,64,1,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,16,50,13,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,40,1,20,99,2024-05-01 16-38-34
LSTM-AQ,electricity/electricity.csv,AA_attn_dhz_ap1_norm,0.002400201,0.037852556,,,,0.026141386479139328,0.09311366826295853,0.12901541590690613,probability_forecast_OT_96_192_LSTM-AQ_custom_ftMS_sl96_ll0_pl192_dm24_nh2_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-05-01 17-26-19,2021,probability_forecast,1,OT_96_192,custom,MS,OT,t,3,./checkpoints/,MinMaxScaler,0,0.8,True,96,0,192,Monthly,False,0.25,0.25,5,6,321,321,321,24,2,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,16,50,9,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,40,1,20,99,2024-05-01 17-26-19
LSTM-AQ,electricity/electricity.csv,AA_attn_dhz_ap1_norm,0.0018082166,0.033319794,,,,0.022276675328612328,0.0781070813536644,0.09822888672351837,probability_forecast_OT_96_192_LSTM-AQ_custom_ftMS_sl96_ll0_pl192_dm40_nh2_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-05-01 18-03-27,2021,probability_forecast,1,OT_96_192,custom,MS,OT,t,3,./checkpoints/,MinMaxScaler,0,0.8,True,96,0,192,Monthly,False,0.25,0.25,5,6,321,321,321,40,2,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,16,50,17,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,40,1,20,99,2024-05-01 18-03-27
LSTM-AQ,electricity/electricity.csv,AA_attn_dhz_ap1_norm,0.005554348,0.057977416,,,,0.03751499578356743,0.0675053745508194,0.2898184359073639,probability_forecast_OT_96_192_LSTM-AQ_custom_ftMS_sl96_ll0_pl192_dm64_nh2_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-05-01 18-58-31,2021,probability_forecast,1,OT_96_192,custom,MS,OT,t,3,./checkpoints/,MinMaxScaler,0,0.8,True,96,0,192,Monthly,False,0.25,0.25,5,6,321,321,321,64,2,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,16,50,2,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,40,1,20,99,2024-05-01 18-58-31
LSTM-AQ,electricity/electricity.csv,AA_attn_dhz_ap1_norm,nan,nan,,,,nan,0.5,nan,probability_forecast_OT_96_192_LSTM-AQ_custom_ftMS_sl96_ll0_pl192_dm24_nh4_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-05-01 19-17-25,2021,probability_forecast,1,OT_96_192,custom,MS,OT,t,3,./checkpoints/,MinMaxScaler,0,0.8,True,96,0,192,Monthly,False,0.25,0.25,5,6,321,321,321,24,4,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,16,50,1,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,40,1,20,99,2024-05-01 19-17-25
LSTM-AQ,electricity/electricity.csv,AA_attn_dhz_ap1_norm,0.0016165538,0.030462539,,,,0.021952800452709198,0.09824737906455994,0.07800257205963135,probability_forecast_OT_96_192_LSTM-AQ_custom_ftMS_sl96_ll0_pl192_dm40_nh4_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-05-01 19-33-47,2021,probability_forecast,1,OT_96_192,custom,MS,OT,t,3,./checkpoints/,MinMaxScaler,0,0.8,True,96,0,192,Monthly,False,0.25,0.25,5,6,321,321,321,40,4,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,16,50,36,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,40,1,20,99,2024-05-01 19-33-47
LSTM-AQ,electricity/electricity.csv,AA_attn_dhz_ap1_norm,0.0042913775,0.051175557,,,,0.03426090627908707,0.09790549427270889,0.2631850242614746,probability_forecast_OT_96_192_LSTM-AQ_custom_ftMS_sl96_ll0_pl192_dm64_nh4_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-05-01 21-18-45,2021,probability_forecast,1,OT_96_192,custom,MS,OT,t,3,./checkpoints/,MinMaxScaler,0,0.8,True,96,0,192,Monthly,False,0.25,0.25,5,6,321,321,321,64,4,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,16,50,2,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,40,1,20,99,2024-05-01 21-18-45
LSTM-AQ,electricity/electricity.csv,AA_attn_dhz_ap1_norm,0.0022073246,0.037948903,,,,0.022763503715395927,0.056668832898139954,0.10426203906536102,probability_forecast_OT_96_192_LSTM-AQ_custom_ftMS_sl96_ll0_pl192_dm24_nh8_el1_dl1_dmavg_ma25_df2048_fc1_ebtimeF_dtTrue_deExp_2024-05-01 21-37-51,2021,probability_forecast,1,OT_96_192,custom,MS,OT,t,3,./checkpoints/,MinMaxScaler,0,0.8,True,96,0,192,Monthly,False,0.25,0.25,5,6,321,321,321,24,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,16,50,14,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,40,1,20,99,2024-05-01 21-37-51
