model,data_path,custom_params,mse,mae,acc,smape,f_score,crps,mre,naps,setting,seed,task_name,is_training,model_id,data,features,target,freq,lag,scaler,reindex,reindex_tolerance,pin_memory,seq_len,label_len,pred_len,seasonal_patterns,inverse,mask_rate,anomaly_ratio,expand,d_conv,top_k,num_kernels,enc_in,dec_in,c_out,d_model,n_heads,e_layers,d_layers,d_ff,moving_avg,series_decomp_mode,factor,distil,dropout,embed,activation,output_attention,channel_independence,decomp_method,use_norm,down_sampling_layers,down_sampling_window,down_sampling_method,seg_len,num_workers,train_epochs,stop_epochs,batch_size,patience,learning_rate,des,loss,lradj,use_amp,use_gpu,gpu,use_multi_gpu,devices,p_hidden_dims,p_hidden_layers,use_dtw,augmentation_ratio,jitter,scaling,permutation,randompermutation,magwarp,timewarp,windowslice,windowwarp,rotation,spawner,dtwwarp,shapedtwwarp,wdba,discdtw,discsdtw,extra_tag,lstm_hidden_size,lstm_layers,num_spline,sample_times,run_time
LSTM-AQ,traffic/traffic.csv,AA_attn_dhz_ap1_norm,0.003997213,0.038953144,,,,0.02810874953866005,0.2527056634426117,0.04263351485133171,probability_forecast_OT_96_64_LSTM-AQ_custom_ftMS_sl96_ll0_pl64_dm64_nh8_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-06-02 11-49-53,2021,probability_forecast,1,OT_96_64,custom,MS,OT,t,3,MinMaxScaler,0,0.9,True,96,0,64,Monthly,False,0.25,0.25,2,4,5,6,862,862,862,64,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,12,50,16,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,3,20,99,2024-06-02 11-49-53
LSTM-AQ,traffic/traffic.csv,AA_attn_dhz_ap1_norm,0.0039066086,0.038398392,,,,0.026939690113067627,0.23681361973285675,0.044068895280361176,probability_forecast_OT_96_96_LSTM-AQ_custom_ftMS_sl96_ll0_pl96_dm64_nh1_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-06-02 01-45-36,2021,probability_forecast,1,OT_96_96,custom,MS,OT,t,3,MinMaxScaler,0,0.9,True,96,0,96,Monthly,False,0.25,0.25,2,4,5,6,862,862,862,64,1,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,12,50,15,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,64,2,20,99,2024-06-02 01-45-36
LSTM-AQ1,electricity/electricity.csv,,0.0023359254,0.0379067,,,,0.026282086968421936,0.07208251953125,0.09321460127830505,probability_forecast_OT_96_16_LSTM-AQ1_custom_ftMS_sl96_ll0_pl16_dm512_nh8_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-06-14 09-50-36,2021,probability_forecast,1,OT_96_16,custom,MS,OT,t,3,MinMaxScaler,0,0.8,True,96,0,16,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,512,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,12,50,19,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,2,20,99,2024-06-14 09-50-36
LSTM-AQ1,electricity/electricity.csv,,0.0025413176,0.03988147,,,,0.026604555547237396,0.06895720213651657,0.0981990396976471,probability_forecast_OT_96_32_LSTM-AQ1_custom_ftMS_sl96_ll0_pl32_dm512_nh8_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-06-14 10-14-00,2021,probability_forecast,1,OT_96_32,custom,MS,OT,t,3,MinMaxScaler,0,0.8,True,96,0,32,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,512,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,12,50,15,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,2,20,99,2024-06-14 10-14-00
LSTM-AQ1,electricity/electricity.csv,,0.0026335153,0.039132986,,,,0.028305040672421455,0.0827602967619896,0.11011801660060883,probability_forecast_OT_96_64_LSTM-AQ1_custom_ftMS_sl96_ll0_pl64_dm512_nh8_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-06-14 10-35-51,2021,probability_forecast,1,OT_96_64,custom,MS,OT,t,3,MinMaxScaler,0,0.8,True,96,0,64,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,512,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,12,50,11,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,2,20,99,2024-06-14 10-35-51
LSTM-AQ1,electricity/electricity.csv,,0.0020332253,0.0351336,,,,0.025408100336790085,0.0847499892115593,0.09610816091299057,probability_forecast_OT_96_96_LSTM-AQ1_custom_ftMS_sl96_ll0_pl96_dm512_nh8_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-06-14 10-58-29,2021,probability_forecast,1,OT_96_96,custom,MS,OT,t,3,MinMaxScaler,0,0.8,True,96,0,96,Monthly,False,0.25,0.25,2,4,5,6,321,321,321,512,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,12,50,16,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,2,20,99,2024-06-14 10-58-29
LSTM-AQ1,exchange_rate/exchange_rate.csv,,0.05802995,0.22892348,,,,0.10793710500001907,0.31845447421073914,0.6996219754219055,probability_forecast_OT_96_16_LSTM-AQ1_custom_ftMS_sl96_ll0_pl16_dm512_nh8_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-06-14 11-36-01,2021,probability_forecast,1,OT_96_16,custom,MS,OT,t,3,MinMaxScaler,0,0.9,True,96,0,16,Monthly,False,0.25,0.25,2,4,5,6,8,8,8,512,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,12,50,3,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,2,20,99,2024-06-14 11-36-01
LSTM-AQ1,exchange_rate/exchange_rate.csv,,0.021909725,0.13740003,,,,0.06537055224180222,0.3983282744884491,0.21728545427322388,probability_forecast_OT_96_32_LSTM-AQ1_custom_ftMS_sl96_ll0_pl32_dm512_nh8_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-06-14 11-38-59,2021,probability_forecast,1,OT_96_32,custom,MS,OT,t,3,MinMaxScaler,0,0.9,True,96,0,32,Monthly,False,0.25,0.25,2,4,5,6,8,8,8,512,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,12,50,16,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,2,20,99,2024-06-14 11-38-59
LSTM-AQ1,exchange_rate/exchange_rate.csv,,0.01473709,0.11180633,,,,0.05612213537096977,0.4041953980922699,0.1633290946483612,probability_forecast_OT_96_64_LSTM-AQ1_custom_ftMS_sl96_ll0_pl64_dm512_nh8_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-06-14 11-46-26,2021,probability_forecast,1,OT_96_64,custom,MS,OT,t,3,MinMaxScaler,0,0.9,True,96,0,64,Monthly,False,0.25,0.25,2,4,5,6,8,8,8,512,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,12,50,50,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,2,20,99,2024-06-14 11-46-26
LSTM-AQ1,exchange_rate/exchange_rate.csv,,0.020081606,0.13478957,,,,0.06559521704912186,0.4577156901359558,0.20502877235412598,probability_forecast_OT_96_96_LSTM-AQ1_custom_ftMS_sl96_ll0_pl96_dm512_nh8_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-06-14 12-13-15,2021,probability_forecast,1,OT_96_96,custom,MS,OT,t,3,MinMaxScaler,0,0.9,False,96,0,96,Monthly,False,0.25,0.25,2,4,5,6,8,8,8,512,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,12,50,24,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,2,20,99,2024-06-14 12-13-15
LSTM-AQ1,traffic/traffic.csv,,0.004528665,0.04246048,,,,0.030498884618282318,0.25592559576034546,0.04328371584415436,probability_forecast_OT_96_16_LSTM-AQ1_custom_ftMS_sl96_ll0_pl16_dm512_nh8_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-06-14 12-28-46,2021,probability_forecast,1,OT_96_16,custom,MS,OT,t,3,MinMaxScaler,0,0.9,False,96,0,16,Monthly,False,0.25,0.25,2,4,5,6,862,862,862,512,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,12,50,16,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,2,20,99,2024-06-14 12-28-46
LSTM-AQ1,traffic/traffic.csv,,0.0043252963,0.041145522,,,,0.030513081699609756,0.23567822575569153,0.03827250748872757,probability_forecast_OT_96_32_LSTM-AQ1_custom_ftMS_sl96_ll0_pl32_dm512_nh8_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-06-14 12-44-39,2021,probability_forecast,1,OT_96_32,custom,MS,OT,t,3,MinMaxScaler,0,0.9,False,96,0,32,Monthly,False,0.25,0.25,2,4,5,6,862,862,862,512,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,12,50,21,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,2,20,99,2024-06-14 12-44-39
LSTM-AQ1,traffic/traffic.csv,,0.0043034074,0.04230007,,,,0.030829213559627533,0.2772805094718933,0.03981119021773338,probability_forecast_OT_96_64_LSTM-AQ1_custom_ftMS_sl96_ll0_pl64_dm512_nh8_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-06-14 13-07-11,2021,probability_forecast,1,OT_96_64,custom,MS,OT,t,3,MinMaxScaler,0,0.9,False,96,0,64,Monthly,False,0.25,0.25,2,4,5,6,862,862,862,512,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,12,50,18,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,2,20,99,2024-06-14 13-07-11
LSTM-AQ1,traffic/traffic.csv,,0.0046332474,0.043704145,,,,0.03190342336893082,0.26935482025146484,0.04129495844244957,probability_forecast_OT_96_96_LSTM-AQ1_custom_ftMS_sl96_ll0_pl96_dm512_nh8_el1_dl1_dmavg_ma25_df2048_expand2_dc4_fc1_ebtimeF_dtTrue_deExp_2024-06-14 13-31-53,2021,probability_forecast,1,OT_96_96,custom,MS,OT,t,3,MinMaxScaler,0,0.9,False,96,0,96,Monthly,False,0.25,0.25,2,4,5,6,862,862,862,512,8,1,1,2048,25,avg,1,True,0,timeF,gelu,False,0,moving_avg,1,0,1,,48,12,50,16,256,3,0.001,Exp,auto,type1,False,True,0,False,"0,1,2,3","[128, 128]",2,False,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,40,2,20,99,2024-06-14 13-31-53
